Device,Algorithm,Type,Operation,Iteration,Time
Laptop,ECDH,Classical,KeyGen,1,0.000480
Laptop,ECDSA,Classical,Sign,1,0.000107
Laptop,ECDSA,Classical,Verify,1,0.000004
Laptop,ECDH,Classical,KeyGen,2,0.000477
Laptop,ECDSA,Classical,Sign,2,0.000111
Laptop,ECDSA,Classical,Verify,2,0.000004
Laptop,ECDH,Classical,KeyGen,3,0.000450
Laptop,ECDSA,Classical,Sign,3,0.000098
Laptop,ECDSA,Classical,Verify,3,0.000004
Laptop,ECDH,Classical,KeyGen,4,0.000496
Laptop,ECDSA,Classical,Sign,4,0.000108
Laptop,ECDSA,Classical,Verify,4,0.000004
Laptop,ECDH,Classical,KeyGen,5,0.000498
Laptop,ECDSA,Classical,Sign,5,0.000108
Laptop,ECDSA,Classical,Verify,5,0.000004
